"Hectare","Shift","Date","Anonymized Sighter","Sighter Observed Weather Data","Litter","Litter Notes","Other Animal Sightings","Hectare Conditions","Hectare Conditions Notes","Number of sighters","Number of Squirrels","Total Time of Sighting"
"36C","PM","10132018","45","56° F, Partly Cloudy","None",,"Humans, Dogs, Dogs (on path), Ducks & Geese (in pool)","Calm, Busy","Busy on West Dr","1","6","25"
"36C","AM","10142018","243","50º F, Calm, Fair, Sunny","None",,"Humans, Birds","Calm, Busy","Calm in woods, busy outside with fund walk","1","4","40"
"36D","PM","10072018","1","81º F, Humid. Overcast.","Some",,"Humans, Dogs, Turtle, Chipmunks","Calm",,"1","2","32"
"36D","AM","10072018","209","70º F, Overcast","Some",,"Humans, Dogs, Chipmunks","Calm",,"1","1","34"
"36E","AM","10132018","41","50º F, rainy",,,"Humans, Dogs, Chipmunk","Moderate","Lots of runners","1","3","20"
"36E","PM","10122018","77","61º F, sunny, light breeze","Some",,"Humans, Dogs, Rat","Calm","People on path","1","2","25"
"36F","PM","10122018","35","61º F, no clouds, clear sky, breeze","None",,"Humans, Robin","Busy",,"1","7","25"
"36F","AM","10172018","183","50º F, sunny, clear","None",,"Humans, Dogs","Calm","Squeaky toys","1","5","20"
"36G","AM","10182018","60",,,,,,,"1","0",
"36G","PM","10122018","250","61º F, sunny, windy","Some",,"Humans, Dogs, Pigeons, Robins","Busy",,"1","2","20"
"36H","PM","10082018","104","66º F, foggy, drizzly","None",,"Humans, Hawks, Dogs","Busy",,"1","2","40"
"36H","AM","10102018","264","72º F, Mostly cloudy, calm","None",,"Dogs, lots of Blue jays & Gackels","Calm",,"1","2","26"
"36I","AM","10172018","183","50º F, sunny, clear","Some",,"Humans, Dogs, Many song birds: Wrens, Finches, Blue jays, Mourning dove","Calm","Traffic noises nearby","1","8","23"
"36I","PM","10072018","183","81º F, partly cloudy. Humid","None",,"Humans, Dogs, Blue jays. Robins, Sparrows","Busy",,"1","13","30"
"37A","AM","10122018","248","59º F, partly cloudy, breeze",,,"Morning Dove, Crows","Calm",,"1","1","23"
"37B","AM","10182018","120","45º F, Clear, Cold","None",,"Humans, Dogs, Birds","Calm",,"1","6","25"
"37B","PM","10132018","128","55° F, mostly cloudy",,,"Dogs","Calm",,"1","5","25"
"37C","PM","10132018","242","55° F, Mostly Cloudy, Cool, Breezy",,,"Chipmunks (2)","Busy",,"1","5","20"
"37C","AM","10122018","248","59º F, mostly cloudy, windy","Some","Beer party can debris","Humans, Blue Jay, Warbler","Calm",,"1","4","24"
"37D","AM","10182018","2","45º F, Clear","None",,"Humans, Falcon, Chipmunks","Calm",,"1","2","31"
"37D","PM","10142018","209","57º F, overcast","Some",,"Humans, Chipmunks","Calm",,"1","8","26"
"37E","PM","10062018","40","65º F, misty overcast","Some",,"Humans, Chipmunks, Lots of little birds","Calm",,"1","9","20"
"37E","AM","10132018","252","50º F, light rain","None",,"Humans, Dogs, Birds","Calm",,"1","5","22"
"37F","AM","10102018","120","Overcast & humid but cool","Some",,"Humans, Dogs, Gull, Birds","Busy",,"1","1","25"
"37F","PM","10142018","243","59º F, overcast, SW 6 mph","None",,"Humans","Busy",,"1","3","24"
"37G","PM","10072018","114","81º F, p/c. Humid",,,"Humans, Dogs","Busy",,"1","9","24"
"37H","PM","10062018","34","65º F, misty, overcast","None",,"Humans, Dogs","Calm","Lots of humans walking quietly","1","6","23"
"37H","AM","10182018","84","45º F, Very Sunny, Chilly",,,"Humans, Dogs, Mourning doves (sic), Sparrows","Calm",,"1","4","27"
"37I","AM","10102018","120","Overcast & humid but cool","None",,"Humans, Dogs, Birds, Chipmunks","Calm",,"1","5","25"
"37I","PM","10062018","172","~65º F, Misting & Cloudy","None",,"Humans, Dogs, Chipmunks (5+)","Calm",,"1","2","22"
"38A","AM","10192018","186","45º F, Sunny Windy","None",,"Humans, Birds, No Pigeons","Busy","Traffic, lawn mowing in 39A, kids on lawn in 39.","1","5","25"
"38A","PM","10132018","210","55º F, partly cloudly","Some",,"Humans, Dogs, Pigeons","Calm",,"1","5","23"
"38B","AM","10192018","7","45º F, Sunny, Cold Breeze","None",,"Humans, Dogs",,,"1","5","25"
"38B","PM","10182018","114","53º F, Sunny, Light Breeze","None",,"Humans, Hawks, Dogs","Busy","Lots of school kids","1","2","24"
"38C","AM","10192018","7","45º F, Sunny, Cold Breeze Wind","None",,"Humans, Dogs","Calm",,"1","11","25"
"38C","PM","10142018","217","58º F, Cloudy","None",,"Humans, Sparrows","Busy",,"1","10","25"
"38D","PM","10062018","40","65º F, Misty, overcast","Some",,"Humans, Small birds, Chipmunks","Moderate",,"1","4","20"
"38D","AM","10172018","135","50º F, clear, sunny","None",,"Humans, Dogs, Migratory birds","Calm",,"1","6","32"
"38E","AM","10102018","105","72º F, Bit cloudier","Some",,"Chipmunks","Calm",,"1","12","20"
"38E","PM","10142018","243","59º F, overcast, SW 6 mph","None",,"Humans, Chippys, Birds","Busy",,"1","5","35"
"38F","AM","10182018","114","45º F, Clear","Some",,"Humans, Dogs",,,"1","6","23"
"38F","PM","10132018","222","56º F, partly cloudy","None",,"Humans, Small birds, Chipmunks","Calm, Busy","Only small chunk near road was busy, the rest was unoccupied","1","6","22"
"38G","PM","10202018","87","61º F, Sunny and Clear","None",,"Humans","Calm",,"1","11","25"
"38G","AM","10182018","114","45º F, Sunny",,,"Humans, Dogs","Busy",,"1","0","20"
"38H","PM","10122018","64","61º F, breeze, blue sky","Abundant",,"Humans, Birds","Calm",,"1","1","30"
"38H","AM","10192018","114","46º F, Sunny","Some",,"Humans, Hawks, Dogs","Calm",,"1","1","22"
"38I","AM","10192018","37","45º F, Sunny, Breezy","None",,"Humans, So many Birds!","Calm",,"1","2","20"
"38I","PM","10142018","100","57º F, overcast","Some",,"Humans, Dogs, Rats, Chipmunks","Busy",,"1","4","25"
"39A","PM","10142018","238","57º F, overcast","Some",,"Humans, Dogs","Busy",,"1","3","23"
"39A","AM","10132018","252","50º F, light rain","None",,"Humans","Calm",,"1","1","20"
"42D","AM","10142018","215","50º F, mostly sunny","Some",,"Humans, Dogs, Pigeons","Busy",,"1","3","25"
"39B","PM","10142018","183","57º F, Cloudy","None",,"Humans, Hawks, Dogs, Chipmunks, Blue jays","Calm, Busy","Calm in woods, busy, music nearby w/ tambourines, chanting, just outside so. edge of hectare","1","6","20"
"39B","AM","10182018","262","45º F, Clear, Brisk",,,"Humans, Dogs","Busy",,"1","1","26"
"39C","AM","10172018","120","50º F, clear, sunny","None",,"Humans, Dogs","Busy",,"1","4","30"
"39C","PM","10062018","196","64º F, Cloudy & Misty",,,"Hawks, Chipmunk","Moderate",,"1","4","20"
"39D","PM","10122018","22","61º F, clear sky, windy","Some",,"Humans, Chipmunk, Warbler","Calm",,"1","4","32"
"39D","AM","10082018","224","67º F, cloudy, drizzling","Some",,"Humans","Calm",,"1","6","33"
"39E","PM","10132018","3","59º F, sunny, slightly cloudy","Abundant",,"Humans, Dogs, Birds, Chipmunks","Calm",,"1","2","26"
"39E","AM","10182018","120","45º F, Clear, Brisk","Some",,"Humans, Dogs, Birds","Busy",,"1","5","28"
"39F","AM","10142018","17","51º F, mostly sunny","None",,"Humans, Dogs, Chipmunks","Calm, Busy","""no woods""","1","5","25"
"39F","PM","10062018","34","65º F, misty, overcast","None",,"Humans, Dogs","Calm",,"1","4","21"
"39G","AM","10182018","244","45º F, Windy, Clear Skies","Some",,"Humans, Song birds","Calm",,"1","2","24"
"39H","PM","10132018","236","55° F, mostly cloudy","None",,"Humans, Hawks, Dogs","Busy",,"1","3","25"
"39H","AM","10072018","259",,,,"Humans, Dogs","Busy",,"1","4",
"39I","AM","10192018","37","45º F, Sunny, Breezy","None",,"Humans, Hawks, Dogs","Calm",,"1","0","25"
"40A","PM","10142018","99","57º F, overcast",,,"Humans",,,"1","6",
"40A","AM","10102018","105","72º F, Absolute perfection","Some",,"Robins?","Moderate","Noise pollution","1","4","25"
"40B","AM","10192018","253","47º F, Sunny, Breezy","Some",,"Humans, Dogs","Calm",,"1","9","40"
"40C","AM","10172018","135","50º F, clear, sunny","None",,"Humans, Chipmunk, migratory birds","Calm",,"1","7","23"
"40D","AM","10132018","40","50º F, light rain","Abundant",,"Humans (a trail runner)","Calm",,"1","7","20"
"40D","PM","10132018","210","56º F, Partly Cloudy","Abundant",,"Humans, Dogs, Chipmunk","Calm",,"1","7","27"
"40E","AM","10142018","215","50º F, mostly sunny","Some",,"Humans, Hawks, Dogs","Busy",,"1","4","25"
"40F","AM","10182018","84","45º F, Clear, Sunny",,,"Humans, Dogs, Ducks, Mainly female mallards, Canadian geese, also Small birds Sparrows?","Calm",,"1","0","27"
"40F","PM","10062018","172","~65º F, cloudy misting","Some",,"Dogs","Calm",,"1","3","28"
"40G","AM","10072018","54","70º F, Overcast",,,"Humans, Dogs, Finches","Calm",,"1","2",
"40H","PM","10082018","49","overcast, dusk","None",,"Humans, Dogs, Woodpecker, Chipmunk","Calm",,"1","0","25"
"40H","AM","10172018","104","52º F, breezy, sunny","None",,"Humans, Dogs, Geese","Calm",,"1","2","20"
"40I","AM","10182018","27","45º F, Clear",,,"Humans, Hawks, Ducks","Busy",,"1","2","20"
"41A","PM","10072018","30","81º F, Partly Cloudy","Some",,"Humans, Dogs, Pigeons, Chipmunks","Busy",,"1","6","25"
"41A","AM","10132018","40","50º F, light rain","Abundant",,"Humans, Dogs, Birds, Chipmunks","Calm",,"1","1","20"
"41B","PM","10142018","111","57º F, overcast","Some",,"Dogs, Chipmunks (at least 3)","Calm",,"1","5","45"
"41C","PM","10072018","30","81º F, Partly Cloudy",,,"Humans, Birds. Chipmunks",,,"1","4","25"
"41C","AM","10172018","120","50º F, clear, sunny","Abundant",,"Humans, Dogs, Birds","Calm",,"1","7","30"
"41D","PM","10142018","26","57º F, cloudy","Some",,"Humans, Hawks, Dogs, Chipmunk","Calm",,"1","5","30"
"41D","AM","10142018","176","50º F, mostly sunny","Some",,"Humans, Dogs","Calm",,"1","5",
"41E","AM","10072018","114","71º F, o/c","Some",,"Humans, Dogs","Busy","Runners","1","6","25"
"41F","PM","10192018","114","60º F, p/c bluh",,,"Humans",,,"1","2",
"41F","AM","10192018","183","45º F, Sunny, Breezy","None",,"Humans, Dogs, Geese, Mallard Nests","Calm, Busy","Started busy, then very calm","1","0","21"
"41G","PM","10142018","10","57º F, overcast","Some",,"Humans, Ducks, Birds","Calm",,"1","0","20"
"41G","AM","10132018","114","50º F, sprinkling","Some",,"Humans, Dogs","Calm",,"1","2","20"
"41H","PM","10082018","49","cool, overcast",,,"Humans, Dogs, Pigeons, Turtles, Ducks, Geese",,,"1","0","15"
"41H","AM","10172018","104","51º F, sunny, light breeze","Some",,"Humans, Dogs, Geese","Calm",,"1","0","30"
"41I","AM","10182018","27","45º F, Clear",,,"Humans, Dogs, Pigeons","Busy",,"1","2","20"
"41I","PM","10172018","114","63º F, partly cloudy, breezy","Some",,"Humans, Dogs, Pigeons, Geese, Ducks","Busy",,"1","1","22"
"42A","PM","10142018","12","57º F, mostly cloudy","Some",,"Humans, Dogs, Sparrows","Busy","He took a 20-minute lunch break in the middle of shift.","1","1","28"
"42A","AM","10192018","253","45º F, Sunny Breezy","Some",,"Humans, Dogs, Pigeons, Rat, Chipmunk","Calm",,"1","1","30"
"42B","PM","10082018","134","64º F, cloudy, slight drizzle, humid","Some",,"Humans, Dogs","Busy",,"1","0","25"
"42C","AM","10072018","114","71º F",,,"Humans, Dogs","Busy",,"1","4","27"
"42C","PM","10132018","128","55° F, mostly cloudy","Some",,"Humans, Dogs, Chipmunk","Busy",,"1","6","26"
"42D","PM","10132018","3","55º F, cloudy (mostly)","Abundant","On street","Humans, Dogs, Birds, Chipmunks, Rats","Calm",,"1","4","28"
"19H","PM","10082018","164,165","cloudy",,,,"Calm",,"2","1","5"
"42E","PM","10122018","22","61º F, clear sky, windy","Some",,"Humans, Dogs, Pigeons","Busy",,"1","6","20"
"42E","AM","10082018","224","65º F, cloudy, drizzling","Abundant",,"Humans","Busy","Construction just outside sector","1","0","21"
"42F","AM","10192018","194","66º F, Calm and some Breeze","Abundant",,"Humans, Dogs, Geese","Busy",,"1","2","20"
"42G","AM","10182018","244","45º F, Breezy, Clear Skies",,,"Humans, Dogs, Pigeons, other Song birds","Calm",,"1","3","25"
"42H","PM","10142018","39","57º F, overcast","Some",,"Humans, Dogs, Pigeons","Busy",,"1","5","30"
"42H","AM","10192018","194","66º F, Calm, Sunny","Some",,"Humans, Dogs, Birds","Calm",,"1","2","25"
"42I","PM","10142018","79","57º F, cloudy","None",,"Humans, Dogs, Pigeons, Sparrows","Calm",,"1","3","25"
"42I","AM","10192018","183","45º F, Sunny, Breezy","None",,"Humans, Dogs, Geese (a few)","Calm",,"1","0","20"
"9I","AM","10142018","145","54º F, mostly sunny","Some",,"Humans, Dogs, Pigeons, Small birds","Busy",,"1","9","22"
"01C","AM","10122018","225,226","cool, sunny","Some",,"Humans, Dogs, Cats","Calm",,"2","2","30"
"01D","PM","10072018","3,334","80º F, Cloudy","None",,"Humans, Dogs, Pigeons, Sparrows",,,"2","7","25"
"01E","PM","10072018","3,334","80º F, Sunny","None",,"Humans, Dogs, Pigeons,  Robins. Blue jays","Busy",,"2","3","20"
"01I","PM","10122018","225,226","cold, sunny","Some",,"Humans, Hawks, Dogs, Pigeons, Cats","Busy",,"2","4","70"
"02B","PM","10132018","245,246","54° F, Sunny, Breezy","None",,"Humans, Dogs, Pigeons, Robins, Sparrows","Calm, Busy","West Drive Busy","2","9","22"
"02B","AM","10102018","6,263","70º F Partly cloudy","Some",,"Humans, Dogs, Pigeons","Busy",,"2","8","25"
"02C","PM","10132018","245,246","54° F, Sunny, Breezy","None",,"Humans, Robins, Sparrows","Calm, Busy","Fenced Areas / West Drive","2","12","24"
"02F","PM","10142018","9,798","57º F, cloudy","None",,"Humans, Dogs, Pigeons, Chickadees","Busy",,"2","12","23"
"03A","AM","10122018","225,226","sunny, cool","None",,"Humans (Notes), Dogs, Cats","Calm",,"2","3","45"
"03B","AM","10102018","6,263","70º F Cloudy","Some",,"Humans, Dogs","Busy",,"2","10","30"
"03F","PM","10132018","3,031","13° C, Partly Cloudy",,,"Humans, Dogs, Birds","Busy",,"2","7","20"
"03H","PM","10142018","9,798","57º F, cloudy","Some",,"Humans, Dogs, Pigeons, Chickadees","Busy",,"2","7","25"
"04C","AM","10062018","73","65º F, cloudy","None",,"Humans, Dogs","Calm",,"2","5","20"
"04F","PM","10132018","3,031","13° C, Partly Cloudy","None",,"Humans, Dogs, Birds, Rats (Fat), Inchworm","Busy",,"2","4","20"
"06E","AM","10142018","146,147","50º F, mostly sunny","Some",,"Humans, Dogs, Small birds","Calm",,"2","1","22"
"07C","PM","10202018","189,190","62º F, Sunny","None",,"Humans, Dogs, Sparrows, Other Birds","Calm",,"2","6","23"
"07E","PM","10132018","112,113","56° F, Cloudy, Light Wind","None",,"Humans, Dogs, Sparrows","Busy",,"2","5","39"
"07H","AM","10062018","5,051","60s, cloudy, slight drizzle","Some",,"Sparrows, Butterflies","Busy",,"2","16","30"
"08C","PM","10132018","197,198","54° F, Bit Breezy, Cool","Some",,"Humans, Dogs, Pigeons","Calm",,"2","8","22"
"09B","PM","10132018","197,198","54° F, Breeze, Cool","None",,"Humans, Dogs, Rats (Notes)","Calm",,"2","10","22"
"09H","AM","10062018","2,526","64º F, cloudy","Some",,"Humans, Dogs","Busy",,"2","6","20"
"10B","AM","10062018","7,172",,"Some",,"Humans, Dogs, Pigeons","Busy",,"2","4","35"
"10C","PM","10132018","112,113","56° F, Cloudy","Some",,"Humans, Dogs, Sparrow, Starlings, Cardinals, Crows","Busy",,"2","4","27"
"10G","AM","10062018","136,137","64º F, overcast","Some",,"Humans, Dogs, Sparrows","Busy",,"2","11","58"
"10H","AM","10142018","146,147","50º F, cloudy","None",,"Humans, Dogs, Small birds","Busy",,"2","6","23"
"11D","PM","10062018","2,829","65º F","None",,"Humans, Dogs, Horses","Busy",,"2","5","25"
"11H","PM","10132018","129,130","55º F, sunny","Abundant",,"Humans","Busy",,"2","4","20"
"11I","PM","10122018","4,243","58-60º F, sunny","None",,"Humans, Dogs, Birds, Mice","Calm",,"2","7","23"
"14G","PM","10132018","129,130","55º F, sunny","Abundant",,"Humans","Busy",,"2","1","20"
"15A","AM","10072018","2,021","71º F, Humid. Cloudy.","Some",,"Humans, Dogs, Sparrows. Butterflies","Busy",,"2","2","20"
"15D","AM","10072018","2,021","71º F, humid cloudy","Some",,"Humans, Dogs","Calm",,"2","8",
"15I","PM","10122018","4,243","58-60º F, sunny","Some",,"Humans, Dogs, Birds","Busy",,"2","7","25"
"16H","PM","10142018","5,253","cool, dusk","Some",,"Humans, Dogs, Birds","Calm, Busy",,"2","5","25"
"16I","PM","10142018","5,253","cool, dusk","Some",,"Humans, Dogs, Birds","Calm",,"2","0","20"
"17C","AM","10182018","213,214","Low 40s, Windy, Sunny","None",,"Dogs, Birds","Calm",,"2","0","25"
"18D","AM","10182018","213,214","Low 40s, Windy, Sunny","Some",,"Humans","Busy",,"2","4","25"
"18F","PM","10082018","164,165","cloudy, misting rain","None",,"Humans, Dogs, Mallard, Sparrow","Busy",,"2","2","16"
"18F","AM","10142018","8,990","49º F","None",,"Humans, Dogs, Birds","Busy",,"2","2","24"
"18G","AM","10142018","8,990","49º F, sunny","None",,"Birds","Calm",,"2","3","25"
"19B","PM","10182018","9,192","51º F, Clear","None",,"Humans, Dogs, Birds, Robins, Mourning Doves","Busy",,"2","5","30"
"19C","PM","10182018","207,208","51º F, Clear","None",,"Humans, Hawks, Dogs, Pigeons, Robin","Busy",,"2","8","30"
"20E","PM","10062018","8,586","65º F, light drizzle","None",,"Humans","Calm",,"2","0","15"
"21A","AM","10192018","213,214","Clear, Calm, No wind","Some",,"Humans, Dogs, Birds","Calm",,"2","9","25"
"21A","PM","10062018","8,586","65º F, Drizzle","Abundant",,"Humans, Dogs","Busy",,"2","0","27"
"21B","AM","10192018","213,214","Mid 40s, Clear, No Wind","Some",,"Humans, Dogs, Pigeons, Birds","Calm",,"2","7","25"
"21C","PM","10062018","1,415","65º F, Slightly Drizzling","Some",,"Humans","Busy",,"2","1","25"
"21D","AM","10082018","156,157","70º F, cloudy, misty","None",,"Humans, Dogs, Birds","Busy",,"2","6","20"
"22A","AM","10082018","156,157","70º F, cloudy","Some",,"Dogs, Birds","Busy",,"2","6","20"
"22C","PM","10062018","1,415","65º F, Drizzling","None",,"Humans, Dogs","Busy",,"2","13","30"
"22F","AM","10072018","5,859","72º F, Foggy","Some",,"Humans, Dogs, Sparrow","Moderate","In between","2","7","20"
"22I","AM","10072018","5,859","72º F, Foggy","Some",,"Humans, Dogs, Starlings, Sparrows, Blue jays","Busy",,"2","3","20"
"23A","PM","10072018","192,193",,"Some",,"Humans, Dogs","Busy",,"2","0","20"
"23D","PM","10072018","192,193",,"Some",,"Humans, Rats (by reservoir)","Busy",,"2","0","20"
"23G","PM","10122018","3,032","artsy lighting, breezy","Some",,"Humans","Calm",,"2","0","20"
"24A","PM","10072018","3,132","80º F, Humid. Overcast. No rain.","None",,"Humans, Dogs, Little Birds","Moderate","In between calm and busy","2","5","23"
"24I","PM","10072018","45","Humid. Overcast.","None",,"Humans, Dogs, Birds","Calm",,"2","0","30"
"25A","PM","10072018","3,132","79º F, Humid. Overcast. No rain.","None",,"Humans, Dogs, Raccoons, Little Birds, Raccoon sleeping in tree","Calm, Busy","Calm on grass. Busy on road.","2","1","21"
"27B","PM","10062018","155","Misty, rain, cool","None",,"Pigeons, Robins","Calm",,"2","2","20"
"27I","PM","10202018","3,334","60º F, Sunny","Some",,"Humans, Dogs, Pigeons","Busy",,"2","5","20"
"30H","PM","10062018","159,160","Raining",,,"Ducks",,,"2","1","11"
"30I","PM","10062018","159,160",,,,,,,"2","7","23"
"32D","AM","10132018","187,188","48º F, sprinkling",,,"Humans, Dogs","Busy",,"2","6","20"
"33A","AM","10082018","139,140","65º F, drizzle",,,,,,"2","1","30"
"34B","AM","10132018","187,188","50º F, light rain",,,"Humans","Busy",,"2","3","23"
"34D","AM","10082018","139,140","65º F, drizzle","Some",,"Humans","Calm",,"2","3","25"
"37A","PM","10132018","250,251","55º F, mostly cloudy","Abundant",,"Humans, Dogs, Chipmunk, Sparrow","Calm",,"2","2","20"
"37G","AM","10142018","139,140","50º F, mostly sunny",,,"Humans, Dogs","Calm",,"2","6","27"
"39G","PM","10132018","6,768","Sunny, cloudy, chilly, damp, slightly warm","Some",,"Humans, Sleeping possum, Chipmunk, Blue jay","Calm",,"2","7","24"
"39I","PM","10132018","174,175","53º F, mostly cloudy",,,"Humans, Dogs, Pigeons, Blue jays, American Robin, Chipmunk","Busy",,"2","4","23"
"40B","PM","10142018","152,153","57º F, cloudy","None",,"Humans, Hawks, Chipmunks","Calm",,"2","8","35"
"40C","PM","10062018","174,175","Overcast lite rain",,,"Humans, Dogs, Chimney Swifts, Birds, Chipmunk","Calm",,"2","8","25"
"40E","PM","10172018","139,140","63º F, Partly Cloudy",,,,,,"2","3",
"40G","PM","10132018","174,175","55º F, partly cloudy",,,"Humans, Pigeons, Chipmunk","Calm",,"2","6","22"
"40I","PM","10132018","6,768","55º F, partly cloudy, chilly, breezy, some sun","Some",,"Humans, Hawks, Dogs, Pigeons, Duck","Busy",,"2","1","25"
"41B","AM","10102018","74","Humid","Some",,,"Calm",,"2","11","32"
"41E","PM","10132018","250,251","55º F, partly cloudy","Some",,"Humans, Dogs, Chipmunk, Sparrows","Calm, Busy","Calm (in forest), Busy (near road)","2","5","21"
"42B","AM","10142018","176",,"None",,"Humans, Dogs","Calm",,"2","2",
"42F","PM","10172018","139,140","62º F, Partly Sunny/Cloudy",,,"Mallards, Canadian Geese",,,"2","4",
"42G","PM","10142018","3,839","overcast","Some",,"Humans, Hawks, Dogs, Pigeons, Geese","Busy",,"2","3","25"
"04G","AM","10062018","142,143,144","65º F, cloudy, sprinkling of rain","None",,"Humans, Dogs, Horses","Busy",,"3","5","24"
"06G","AM","10082018","48","68º F, humid","None",,"Humans, Dogs","Calm",,"3","6","20"
"07F","AM","10082018","48","68º F, chilly, humid","Some",,"Humans, Dogs","Calm",,"3","17","22"
"08A","AM","10132018","179,180,181","55º F, rainy","Some",,"Pigeons","Calm",,"3","6","20"
"08B","AM","10072018","227","70º F, Muggy","None",,"Humans, Dogs, Pigeons, Doves. Grackle Birds","Busy",,"3","9","25"
"09A","AM","10132018","179,180,181",,"Some",,"Humans, Dogs, Pigeons, Rats, Blue jays","Busy",,"3","12","20"
"11F","PM","10062018","168",,"Some",,"Humans, Dogs, Pigeons","Busy",,"3","3","26"
"12G","PM","10072018","106.107108","80º F","None",,"Humans, Cat bird","Busy",,"3","7","29"
"12H","PM","10072018","106.107108","79º F","None",,"Humans, Sparrows","Busy",,"3","8","30"
"26A","PM","10062018","185",,,,"Horse, Pony",,,"3","6","30"
